current-state,current-county,origin-state,origin-county,Estimate,MOE
001,069,012,001,9,7
001,073,012,001,162,176
001,081,012,001,82,111
001,097,012,001,66,57
001,109,012,001,5,10
001,115,012,001,31,46
002,020,012,001,9,12
002,130,012,001,1,2
002,170,012,001,1,3
004,013,012,001,125,81
004,019,012,001,9,13
005,035,012,001,7,13
005,045,012,001,12,18
005,119,012,001,26,46
006,001,012,001,54,34
006,019,012,001,6,10
006,037,012,001,55,46
006,053,012,001,66,89
006,059,012,001,8,14
006,061,012,001,198,257
006,065,012,001,22,19
006,075,012,001,39,33
006,081,012,001,16,26
006,083,012,001,49,51
006,085,012,001,225,145
008,005,012,001,1,4
008,031,012,001,20,23
008,057,012,001,1,2
008,059,012,001,61,51
008,065,012,001,2,4
008,067,012,001,2,5
008,069,012,001,9,14
008,119,012,001,1,5
009,001,012,001,3,4
009,003,012,001,24,27
009,013,012,001,36,55
009,015,012,001,15,26
010,003,012,001,9,14
011,001,012,001,41,49
012,003,012,001,233,147
012,005,012,001,434,354
012,007,012,001,126,94
012,009,012,001,816,359
012,011,012,001,708,245
012,013,012,001,26,21
012,015,012,001,29,31
012,017,012,001,205,145
012,019,012,001,497,278
012,021,012,001,125,79
012,023,012,001,635,311
012,027,012,001,51,68
012,031,012,001,921,266
012,033,012,001,285,180
012,035,012,001,47,34
012,037,012,001,28,35
012,039,012,001,24,28
012,041,012,001,143,85
012,045,012,001,3,7
012,047,012,001,30,27
012,049,012,001,13,25
012,053,012,001,26,24
012,055,012,001,21,28
012,057,012,001,924,272
012,059,012,001,53,53
012,061,012,001,91,97
012,063,012,001,85,61
012,065,012,001,4,9
012,067,012,001,48,78
012,069,012,001,232,159
012,071,012,001,172,107
012,073,012,001,484,198
012,075,012,001,617,338
012,077,012,001,10,16
012,079,012,001,85,77
012,081,012,001,219,205
012,083,012,001,599,334
012,085,012,001,115,99
012,086,012,001,787,263
012,087,012,001,275,132
012,089,012,001,59,82
012,091,012,001,44,36
012,093,012,001,20,31
012,095,012,001,"1,022",357
012,097,012,001,177,170
012,099,012,001,"1,030",487
012,101,012,001,96,61
012,103,012,001,550,194
012,105,012,001,342,175
012,107,012,001,148,96
012,109,012,001,485,265
012,111,012,001,178,196
012,113,012,001,42,43
012,115,012,001,264,201
012,117,012,001,298,167
012,119,012,001,19,29
012,121,012,001,89,78
012,123,012,001,5,9
012,125,012,001,168,91
012,127,012,001,337,236
012,129,012,001,13,19
012,131,012,001,7,11
012,133,012,001,36,42
013,021,012,001,13,20
013,051,012,001,131,168
013,057,012,001,30,43
013,059,012,001,15,19
013,063,012,001,22,34
013,067,012,001,194,281
013,071,012,001,5,10
013,089,012,001,87,68
013,095,012,001,25,40
013,107,012,001,7,13
013,115,012,001,9,13
013,119,012,001,42,62
013,121,012,001,107,61
013,135,012,001,52,80
013,153,012,001,30,49
013,179,012,001,17,27
013,189,012,001,9,16
013,267,012,001,2,4
013,279,012,001,1,2
013,293,012,001,22,34
013,299,012,001,57,86
015,001,012,001,1,2
015,003,012,001,2,7
015,007,012,001,14,21
015,009,012,001,2,4
016,055,012,001,125,165
017,019,012,001,27,29
017,031,012,001,285,237
017,039,012,001,1,3
017,043,012,001,24,33
017,095,012,001,9,13
017,097,012,001,24,42
017,111,012,001,12,16
017,119,012,001,28,45
017,141,012,001,7,13
017,161,012,001,4,7
017,163,012,001,8,13
017,165,012,001,10,16
018,005,012,001,17,25
018,173,012,001,44,70
019,061,012,001,199,289
019,121,012,001,117,133
019,169,012,001,24,39
019,181,012,001,9,15
020,149,012,001,4,6
020,209,012,001,7,11
021,037,012,001,34,57
021,067,012,001,57,45
021,111,012,001,65,88
021,117,012,001,72,75
021,151,012,001,12,19
021,227,012,001,10,17
022,033,012,001,24,36
022,053,012,001,8,15
022,055,012,001,17,20
023,005,012,001,42,48
024,003,012,001,32,46
024,013,012,001,13,29
024,031,012,001,33,37
024,033,012,001,60,68
024,035,012,001,12,20
024,510,012,001,108,96
025,003,012,001,8,14
025,005,012,001,9,18
025,017,012,001,42,36
